Pass	Rep	AA	MO	RE	BS	OA	CX	SX	Total
4	L2	136000000.00	328000000.00	0.00	2000000.00	320000000.00	0.00	0.00	786000000.00
5	A1	280000000.00	240000000.00	0.00	34000000.00	80000000.00	0.00	0.00	634000000.00
5	A2	264000000.00	296000000.00	0.00	4000000.00	320000000.00	0.00	0.00	884000000.00
5	B1	272000000.00	104000000.00	0.00	6000000.00	240000000.00	0.00	0.00	622000000.00
5	B2	60000000.00	66000000.00	0.00	2000000.00	102000000.00	0.00	0.00	230000000.00
5	C1	290000000.00	100000000.00	0.00	34000000.00	300000000.00	0.00	0.00	724000000.00
5	C2	200000000.00	88000000.00	0.00	6000000.00	256000000.00	0.00	0.00	550000000.00
5	D1	352000000.00	200000000.00	0.00	28000000.00	280000000.00	0.00	0.00	860000000.00
5	D2	384000000.00	184000000.00	0.00	6000000.00	480000000.00	0.00	0.00	1054000000.00
5	E1	248000000.00	176000000.00	0.00	12000000.00	320000000.00	0.00	0.00	756000000.00
5	E2	304000000.00	104000000.00	0.00	32000000.00	328000000.00	0.00	0.00	768000000.00
5	F1	240000000.00	136000000.00	0.00	10000000.00	224000000.00	0.00	0.00	610000000.00
5	F2	360000000.00	184000000.00	0.00	4000000.00	288000000.00	0.00	0.00	836000000.00
5	G1	216000000.00	120000000.00	0.00	6000000.00	312000000.00	0.00	0.00	654000000.00
5	G2	312000000.00	152000000.00	0.00	14000000.00	336000000.00	0.00	0.00	814000000.00
5	H1	288000000.00	264000000.00	0.00	8000000.00	264000000.00	0.00	0.00	824000000.00
5	H2	320000000.00	192000000.00	0.00	24000000.00	256000000.00	0.00	0.00	792000000.00
5	I1	408000000.00	208000000.00	0.00	12000000.00	392000000.00	0.00	0.00	1020000000.00
5	I2	248000000.00	96000000.00	0.00	6000000.00	304000000.00	0.00	0.00	654000000.00
5	J1	528000000.00	280000000.00	0.00	6000000.00	336000000.00	0.00	0.00	1150000000.00
5	J2	344000000.00	152000000.00	0.00	12000000.00	296000000.00	0.00	0.00	804000000.00
5	K1	400000000.00	216000000.00	0.00	28000000.00	248000000.00	0.00	0.00	892000000.00
5	K2	176000000.00	88000000.00	0.00	12000000.00	200000000.00	0.00	0.00	476000000.00
5	L1	296000000.00	176000000.00	0.00	36000000.00	320000000.00	0.00	0.00	828000000.00
5	L2	360000000.00	256000000.00	0.00	40000000.00	336000000.00	0.00	0.00	992000000.00
6	A1	384000000.00	104000000.00	0.00	16000000.00	376000000.00	0.00	0.00	880000000.00
6	A2	320000000.00	144000000.00	0.00	8000000.00	388000000.00	0.00	0.00	860000000.00
6	B1	592000000.00	104000000.00	0.00	4000000.00	544000000.00	0.00	0.00	1244000000.00
6	B2	280000000.00	152000000.00	0.00	8000000.00	248000000.00	0.00	0.00	688000000.00
6	C1	288000000.00	80000000.00	0.00	28000000.00	256000000.00	0.00	0.00	652000000.00
6	C2	408000000.00	216000000.00	0.00	10000000.00	288000000.00	0.00	0.00	922000000.00
6	D1	592000000.00	112000000.00	0.00	10000000.00	288000000.00	0.00	0.00	1002000000.00
6	D2	328000000.00	80000000.00	0.00	4000000.00	296000000.00	0.00	0.00	708000000.00
6	E1	408000000.00	112000000.00	0.00	12000000.00	360000000.00	0.00	0.00	892000000.00
6	E2	376000000.00	120000000.00	0.00	2000000.00	280000000.00	0.00	0.00	778000000.00
6	F1	288000000.00	128000000.00	0.00	8000000.00	376000000.00	0.00	0.00	800000000.00
6	F2	488000000.00	88000000.00	0.00	6000000.00	288000000.00	0.00	0.00	870000000.00
6	G1	312000000.00	160000000.00	0.00	4000000.00	312000000.00	0.00	0.00	788000000.00
6	G2	392000000.00	192000000.00	0.00	16000000.00	320000000.00	2000000.00	0.00	922000000.00
6	H1	432000000.00	128000000.00	2000000.00	6000000.00	488000000.00	0.00	0.00	1056000000.00
6	H2	488000000.00	144000000.00	0.00	12000000.00	328000000.00	0.00	0.00	972000000.00
6	I1	544000000.00	128000000.00	0.00	12000000.00	408000000.00	0.00	0.00	1092000000.00
6	I2	360000000.00	160000000.00	0.00	16000000.00	352000000.00	0.00	0.00	888000000.00
6	J1	376000000.00	160000000.00	0.00	1000000.00	344000000.00	0.00	0.00	881000000.00
6	J2	576000000.00	224000000.00	0.00	16000000.00	568000000.00	0.00	0.00	1384000000.00
6	K1	376000000.00	144000000.00	0.00	10000000.00	288000000.00	0.00	0.00	818000000.00
6	K2	456000000.00	104000000.00	0.00	16000000.00	432000000.00	0.00	0.00	1008000000.00
6	L1	440000000.00	144000000.00	0.00	20000000.00	360000000.00	0.00	0.00	964000000.00
6	L2	320000000.00	216000000.00	0.00	6000000.00	208000000.00	0.00	0.00	750000000.00
7	A1	400000000.00	24000000.00	0.00	46000000.00	360000000.00	0.00	0.00	830000000.00
7	A2	832000000.00	48000000.00	0.00	14000000.00	408000000.00	0.00	0.00	1302000000.00
7	B1	408000000.00	40000000.00	0.00	10000000.00	424000000.00	0.00	0.00	882000000.00
7	B2	360000000.00	192000000.00	0.00	6000000.00	472000000.00	0.00	0.00	1030000000.00
7	C1	360000000.00	184000000.00	0.00	46000000.00	424000000.00	0.00	0.00	1014000000.00
7	C2	472000000.00	560000000.00	0.00	8000000.00	176000000.00	0.00	0.00	1216000000.00
7	D1	800000000.00	400000000.00	0.00	44000000.00	460000000.00	0.00	0.00	1704000000.00
7	D2	744000000.00	64000000.00	0.00	2000000.00	480000000.00	0.00	0.00	1290000000.00
7	E1	296000000.00	64000000.00	0.00	8000000.00	344000000.00	0.00	0.00	712000000.00
7	E2	400000000.00	216000000.00	0.00	10000000.00	296000000.00	0.00	0.00	922000000.00
7	F1	360000000.00	160000000.00	0.00	14000000.00	304000000.00	0.00	0.00	838000000.00
7	F2	304000000.00	64000000.00	0.00	20000000.00	280000000.00	0.00	0.00	668000000.00
7	G1	408000000.00	88000000.00	0.00	12000000.00	400000000.00	0.00	0.00	908000000.00
7	G2	328000000.00	120000000.00	0.00	18000000.00	264000000.00	0.00	0.00	730000000.00
7	H1	352000000.00	64000000.00	0.00	18000000.00	256000000.00	0.00	0.00	690000000.00
7	H2	304000000.00	72000000.00	0.00	10000000.00	328000000.00	0.00	0.00	714000000.00
7	I1	400000000.00	56000000.00	0.00	30000000.00	240000000.00	0.00	0.00	726000000.00
7	I2	280000000.00	52000000.00	0.00	18000000.00	352000000.00	0.00	0.00	702000000.00
7	J1	312000000.00	80000000.00	0.00	1400000.00	256000000.00	0.00	0.00	649400000.00
7	J2	480000000.00	8000000.00	0.00	12000000.00	376000000.00	0.00	0.00	876000000.00
7	K1	376000000.00	80000000.00	0.00	2000000.00	352000000.00	0.00	0.00	810000000.00
7	K2	800000000.00	400000000.00	0.00	10000000.00	800000000.00	0.00	0.00	2010000000.00
7	L1	272000000.00	32000000.00	0.00	24000000.00	352000000.00	0.00	0.00	680000000.00
7	L2	320000000.00	400000000.00	0.00	34000000.00	320000000.00	0.00	0.00	1074000000.00
8	A1	464000000.00	56000000.00	0.00	200000.00	360000000.00	0.00	0.00	880200000.00
8	A2	656000000.00	72000000.00	0.00	0.00	392000000.00	0.00	0.00	1120000000.00
8	B1	216000000.00	30000000.00	0.00	400000.00	208000000.00	0.00	0.00	454400000.00
8	B2	216000000.00	64000000.00	0.00	4000000.00	208000000.00	0.00	0.00	492000000.00
8	C1	424000000.00	144000000.00	0.00	2000000.00	328000000.00	0.00	0.00	898000000.00
8	C2	488000000.00	128000000.00	0.00	2000000.00	392000000.00	0.00	0.00	1010000000.00
8	D1	176000000.00	56000000.00	0.00	1000000.00	120000000.00	0.00	0.00	353000000.00
8	D2	90000000.00	14000000.00	0.00	400000.00	64000000.00	0.00	0.00	168400000.00
8	E1	168000000.00	48000000.00	0.00	2000000.00	208000000.00	0.00	0.00	426000000.00
8	E2	240000000.00	16000000.00	0.00	0.00	376000000.00	0.00	0.00	632000000.00
8	F1	176000000.00	96000000.00	0.00	400000.00	200000000.00	0.00	0.00	472400000.00
8	F2	272000000.00	88000000.00	0.00	6000000.00	464000000.00	0.00	0.00	830000000.00
8	G1	200000000.00	48000000.00	0.00	200000.00	160000000.00	0.00	0.00	408200000.00
8	G2	312000000.00	48000000.00	0.00	0.00	200000000.00	0.00	0.00	560000000.00
8	H1	384000000.00	80000000.00	0.00	400000.00	264000000.00	0.00	0.00	728400000.00
8	H2	240000000.00	72000000.00	4000000.00	400000.00	200000000.00	0.00	0.00	516400000.00
8	I1	248000000.00	40000000.00	0.00	1600000.00	200000000.00	0.00	0.00	489600000.00
8	I2	344000000.00	160000000.00	0.00	1800000.00	232000000.00	0.00	0.00	737800000.00
8	J1	120000000.00	72000000.00	0.00	1800000.00	184000000.00	0.00	0.00	377800000.00
8	J2	240000000.00	40000000.00	0.00	10000000.00	240000000.00	0.00	0.00	530000000.00
8	K1	296000000.00	112000000.00	0.00	2000000.00	408000000.00	0.00	0.00	818000000.00
8	K2	224000000.00	104000000.00	0.00	2000000.00	256000000.00	0.00	0.00	586000000.00
8	L1	240000000.00	48000000.00	0.00	8000000.00	368000000.00	0.00	0.00	664000000.00
8	L2	136000000.00	54000000.00	0.00	800000.00	104000000.00	0.00	0.00	294800000.00
9	A1	760000000.00	48000000.00	0.00	6000000.00	336000000.00	0.00	0.00	1150000000.00
9	A2	760000000.00	64000000.00	0.00	1200000.00	408000000.00	0.00	0.00	1233200000.00
9	B1	800000000.00	72000000.00	0.00	10000000.00	400000000.00	0.00	0.00	1282000000.00
9	B2	1000000000.00	160000000.00	0.00	18000000.00	496000000.00	0.00	0.00	1674000000.00
9	C1	528000000.00	112000000.00	0.00	14000000.00	336000000.00	0.00	0.00	990000000.00
9	C2	848000000.00	88000000.00	0.00	4000000.00	288000000.00	2000000.00	0.00	1230000000.00
9	D1	808000000.00	104000000.00	0.00	52000000.00	408000000.00	0.00	0.00	1372000000.00
